Date,FX Vol,VIX,IG Spreads (US),Z FX Vol,Z VIX,Z IG Spreads,SPX
2/6/2001,11.8,21.98,180,0.6683133,0.27487559,0.239030084,1352.26
2/7/2001,11.75,21.67,179,0.650171994,0.239259871,0.227397041,1340.89
2/8/2001,12.125,21.46,180,0.78623179,0.215133093,0.239030084,1332.53
2/9/2001,12.1,22.03,180,0.777161137,0.280620061,0.239030084,1314.76
2/12/2001,11.9,21.92,180,0.704595912,0.267982225,0.239030084,1330.31
2/13/2001,11.7,21.37,180,0.632030688,0.204793046,0.239030084,1318.8
2/14/2001,11.775,21.52,176,0.659242647,0.222026458,0.192497912,1315.92
2/15/2001,12.2,20.27,176,0.813443749,0.078414688,0.192497912,1326.61
2/16/2001,12.025,22.12,178,0.749949178,0.290960108,0.215763998,1301.53
2/20/2001,11.9875,24.69,179,0.736343198,0.586225908,0.227397041,1278.94
2/21/2001,12.275,25.75,179,0.840655708,0.70800869,0.227397041,1255.27
2/22/2001,12.375,26.76,181,0.876938321,0.824047,0.250663127,1252.82
2/23/2001,12.1375,27.21,181,0.790767116,0.875747238,0.250663127,1245.86
2/26/2001,12.125,25.43,180,0.78623179,0.671244077,0.239030084,1267.65
2/27/2001,11.975,26.49,177,0.731807871,0.793026858,0.204130955,1257.94
2/28/2001,12.2875,28.35,176,0.845191035,1.006721173,0.192497912,1239.94
3/1/2001,12.025,28.08,176,0.749949178,0.97570103,0.192497912,1241.23
3/2/2001,12.6,27.43,176,0.958574198,0.901022909,0.192497912,1234.18
3/5/2001,12.75,27.12,175,1.012998117,0.86540719,0.180864869,1241.41
3/6/2001,12.225,25.89,175,0.822514402,0.724093208,0.180864869,1253.8
3/7/2001,12.6125,24.12,174,0.963109525,0.520738941,0.169231826,1261.89
3/8/2001,12.425,24.29,175,0.895079627,0.540270142,0.180864869,1264.74
3/9/2001,12.25,25.62,178,0.831585055,0.693073066,0.215763998,1233.42
3/12/2001,12.3375,30.32,179,0.863332341,1.233053323,0.227397041,1180.16
3/13/2001,12.375,27.55,179,0.876938321,0.914809639,0.227397041,1197.66
3/14/2001,12.85,29.61,182,1.049280729,1.151481837,0.26229617,1166.71
3/15/2001,13.1,28.56,181,1.13998726,1.03084795,0.250663127,1173.56
3/16/2001,13.325,29.91,180,1.221623137,1.185948662,0.239030084,1150.53
3/19/2001,13.05,29.78,180,1.121845954,1.171013038,0.239030084,1170.81
3/20/2001,12.825,30.96,180,1.040210076,1.306582549,0.239030084,1142.62
3/21/2001,12.775,31.93,181,1.02206877,1.418025283,0.250663127,1122.14
3/22/2001,13.1375,32.84,180,1.153593239,1.522574652,0.239030084,1117.58
3/23/2001,12.3875,30.45,179,0.881473647,1.247988947,0.227397041,1139.83
